A;B;lat;long;id;date;category;location;mode;price;antigüedad;area Costruida;area privada;valor arriendo;valor administracion;parqueaderos;Habitaciones;baños;estrato
1;0;61.757.836;-7.556.048;2264-42249;24/07/2021;Casa;SAN LUCAS;Arriendo;$ 6.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida250 m²'; 'Área privada250 m²'; 'Valor arriendo$6.000.000';;" '0Parqueaderos']"""; '3Habitaciones'; '3Baños';
2;0;625.729;;11166-M2880488;19/06/2021;Casa;Santa Lucia;Arriendo;$ 1.200.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida85 m²'; 'Área privada85 m²'; 'Valor arriendo$1.200.000';;; '3Habitaciones'; '1Baños';" '4Estrato']"""
3;0;625.492;-7.559.788;11166-M3023679;23/08/2021;Casa;Velodromo;Arriendo;$ 1.900.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida120 m²'; 'Área privada120 m²'; 'Valor arriendo$1.900.000';;; '5Habitaciones'; '3Baños';" '5Estrato']"""
4;0;6.259.681;-7.558.603;MC2658892;22/09/2021;Casa;Los colores;Arriendo;$ 1.600.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida105 m²'; 'Área privada95 m²'; 'Valor arriendo$1.600.000';;; '4Habitaciones'; '3Baños'; '4Estrato'
5;1;623.843;-7.559.635;4855-M2892084;24/07/2021;Casa;Laureles;Arriendo;$ 3.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida257 m²'; 'Área privada257 m²'; 'Valor arriendo$3.000.000';;; '3Habitaciones'; '2Baños';" '5Estrato']"""
6;1;62.095.733;-7.557.681;2364-15883;19/06/2021;Casa;Patio Bonito;Arriendo;$ 11.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida560 m²'; 'Área privada560 m²'; 'Valor arriendo$11.000.000';;; '4Habitaciones'; '4Baños';" '6Estrato']"""
7;1;624.764;-7.556.582;11392-M2870687;23/08/2021;Casa;Los Colores;Arriendo;$ 5.500.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida350 m²'; 'Área privada350 m²'; 'Valor arriendo$5.500.000';;; '5Habitaciones'; '5Baños';" '5Estrato']"""
8;1;6.209.506;-7.559.207;12116-M2869639;22/09/2021;Casa;GUAYABAL;Arriendo;$ 1.600.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida65 m²'; 'Área privada65 m²'; 'Valor arriendo$1.600.000';;; '2Habitaciones'; '2Baños'; '4Estrato'
9;2;62.144.313;-7.559.793;82-M2207016;23/08/2021;Casa;BELEN;Arriendo;$ 1.700.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida100 m²'; 'Área privada100 m²'; 'Valor arriendo$1.700.000';; 'Parqueaderos1'; '3Habitaciones'; '3Baños';" '5Estrato']"""
10;2;6.251.708;-755.629;2264-38453;24/07/2021;Casa;CENTRO MED;Arriendo;$ 3.100.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida180 m²'; 'Área privada180 m²'; 'Valor arriendo$3.100.000';;" '0Parqueaderos']"""; '1Habitaciones'; '2Baños';
11;2;630.758;-7.557.186;11395-M2847831;19/06/2021;Casa;Pedregal;Arriendo;$ 750.000; 'AntigüedadMás de 20 años'; 'Área construida60 m²'; 'Área privada60 m²'; 'Valor arriendo$750.000';;; '2Habitaciones'; '1Baños';" '2Estrato']"""
12;2;6.240.194;-7.560.267;12777-M3030897;22/09/2021;Casa;Laureles;Arriendo;$ 2.200.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida120 m²'; 'Área privada120 m²'; 'Valor arriendo$2.200.000';;; '1Habitaciones'; '2Baños'; '5Estrato'
13;3;62.417.355;-7.560.766;2364-D16122;24/07/2021;Casa;La Castellana;Arriendo;$ 2.100.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida160 m²'; 'Área privada160 m²'; 'Valor arriendo$2.100.000';; 'Parqueaderos1'; '3Habitaciones'; '3Baños';" '5Estrato']"""
14;3;622.112;-756.079;241-1432;19/06/2021;Casa;Aliadas;Arriendo;$ 2.200.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida160 m²'; 'Área privada160 m²'; 'Valor arriendo$2.200.000';; 'Parqueaderos1'; '5Habitaciones'; '2Baños';" '5Estrato']"""
15;3;623.543;-7.559.874;12476-M3023383;23/08/2021;Casa;Miravalle;Arriendo;$ 1.800.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida80 m²'; 'Área privada80 m²'; 'Valor arriendo$1.800.000'; 'Valor administración$10.000';; '3Habitaciones'; '2Baños';" '4Estrato']"""
16;3;62.786.074;-755.524;737-6477;22/09/2021;Casa;MANRIQUE;Arriendo;$ 2.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida149 m²'; 'Área privada149 m²'; 'Valor arriendo$2.000.000';;; '1Habitaciones'; '1Baños'; '3Estrato'
